id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
83035,"Central loc. Entire apt, all incl.",426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,6246,5,45,2017-12-10,0.37,8,364
83440,GREAT! Apartment Alto Palermo,384997,Santiago,,Recoleta,-34.59369,-58.41226,Entire home/apt,5002,30,5,2012-01-04,0.12,1,365
84033,Great apart with private terrace & chill out area.,458852,Maria,,Palermo,-34.58577,-58.42527,Entire home/apt,5773,2,148,2019-11-09,1.20,2,225
84730,"Spotless apt. in a great location, Wi-Fi, balcony!",426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,1574,90,65,2018-11-10,0.69,8,364
85949,Modern & Luminous Apt in GreatLocation!,426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,1249,5,37,2015-08-31,0.31,8,341
87828,"habitación individual, única huésped de la casa.",480785,Isabel,,Retiro,-34.59126,-58.38108,Private room,1200,4,1,2019-08-02,0.04,2,88
89374,☼ Sunny 1 bedroom+balcony+ Views +Pool+Gym+Sauna,319901,Ralf,,Recoleta,-34.59332,-58.40293,Entire home/apt,4329,5,55,2019-11-19,0.48,27,318
89857,Sunny apartment in Buenos Aires,488300,Mariano,,San Nicolas,-34.60238,-58.39229,Entire home/apt,4810,7,0,,,1,364
91063,"Cosy, central apartment in BsAs",492560,Laurence,,Caballito,-34.61829,-58.43116,Entire home/apt,2501,3,55,2019-06-21,0.56,1,365
92228,Experiencia Recoleta-Buenos Aires,494027,Mirta Susana,,Recoleta,-34.58509,-58.40465,Entire home/apt,7697,20,2,2020-03-31,0.11,2,363
92689,Stunning 1BD w/terrace in Palermo,488973,Casilda Maria,,Palermo,-34.57656,-58.40068,Entire home/apt,7696,2,96,2019-12-22,1.11,2,365
93174,"B&B ""Tucuman 2430""1 room x 1 or 2p",500210,Luciano,,Balvanera,-34.60299,-58.40194,Private room,1136,2,10,2012-08-04,0.08,4,365
93619,DEPARTMENT C / CABIN SECURITY,501789,Jessica Emerita,,San Cristobal,-34.62782,-58.40739,Shared room,6734,1,0,,,1,365
96257,Lovely apartment in Buenos Aires,320183,Hortensia,,Retiro,-34.59805,-58.37717,Entire home/apt,5292,15,0,,,4,351
96490,AMPLIA habitación individual en Buenos Aires,512049,Cristina,,Palermo,-34.58503,-58.41206,Private room,962,7,0,,,1,363
96810,Recoleta Luxury: Design and Style!,508291,Michele,,Retiro,-34.59357,-58.38703,Entire home/apt,6413,7,35,2019-12-28,0.40,1,352
97043,Downtown 4 blocks away from Obelisk,514200,Ceferina De Jesus,,San Nicolas,-34.60751,-58.38793,Entire home/apt,1443,30,9,2013-11-25,0.08,2,180
98934,Monthly Apartment Recoleta,521351,Alfonsina,,Recoleta,-34.58955,-58.39057,Entire home/apt,6734,1,1,2011-08-09,0.01,1,365
100080,Great downtown apartment!,526435,Laura,,San Nicolas,-34.60307,-58.38839,Entire home/apt,1900,1,23,2018-01-10,0.49,2,230
104343,Faena Hotel Stunning Views Private Luxury  Suite*,542973,Brigitte,,Puerto Madero,-34.6022,-58.35541,Hotel room,12602,1,142,2019-11-17,1.78,1,364
106475,Artdecohouse Palermo,547581,Carol,,Recoleta,-34.58842,-58.40928,Entire home/apt,14430,3,112,2020-01-02,0.93,1,321
107220,Great Private Room!,555337,Anita & Sofía,,Recoleta,-34.59699,-58.41092,Private room,1347,7,5,2012-05-02,0.05,2,365
107259,Great place to 12 Tango lovers,555693,Vittoria,,Balvanera,-34.60514,-58.3957,Entire home/apt,38384,3,26,2018-02-12,0.24,2,365
108089,AMAZING PALERMO BEST VALUE w POOL,559463,Martin,,Palermo,-34.58648,-58.4243,Entire home/apt,2117,6,75,2019-04-20,0.77,4,320
108284,Historico y Luminoso Duplex Centro!,560338,Carlos,,San Nicolas,-34.60107,-58.3764,Entire home/apt,5065,2,236,2020-02-10,2.63,15,319
